,movie_id,title,genres,user_id,rating,timestamp
31224,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,391,5.0,891533961
31223,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,297,5.0,1318704164
31222,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,265,5.0,960056005
31220,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,236,5.0,1109967103
31219,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,232,5.0,955092359
31214,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,17,5.0,1127469169
31671,1246,Dead Poets Society (1989),Drama,654,5.0,1145390505
31657,1246,Dead Poets Society (1989),Drama,546,5.0,1300579579
31648,1246,Dead Poets Society (1989),Drama,497,5.0,942293244
31640,1246,Dead Poets Society (1989),Drama,431,5.0,1165546535
31634,1246,Dead Poets Society (1989),Drama,388,5.0,946527850
31629,1246,Dead Poets Society (1989),Drama,344,5.0,850727507
31623,1246,Dead Poets Society (1989),Drama,303,5.0,1299489643
31616,1246,Dead Poets Society (1989),Drama,259,5.0,949948995
31614,1246,Dead Poets Society (1989),Drama,245,5.0,1011318492
31612,1246,Dead Poets Society (1989),Drama,242,5.0,956687625
31609,1246,Dead Poets Society (1989),Drama,232,5.0,955092931
31608,1246,Dead Poets Society (1989),Drama,219,5.0,974478177
31601,1246,Dead Poets Society (1989),Drama,187,5.0,1233449323
31593,1246,Dead Poets Society (1989),Drama,106,5.0,1215923111
31587,1246,Dead Poets Society (1989),Drama,88,5.0,1239764716
31584,1246,Dead Poets Society (1989),Drama,57,5.0,907764779
31583,1246,Dead Poets Society (1989),Drama,37,5.0,981304357
31578,1246,Dead Poets Society (1989),Drama,17,5.0,1127469721
31667,1246,Dead Poets Society (1989),Drama,612,5.0,1455638856
33926,1293,Gandhi (1982),Drama,78,5.0,1344470536
33923,1293,Gandhi (1982),Drama,23,5.0,1148728738
33928,1293,Gandhi (1982),Drama,102,5.0,956598697
33932,1293,Gandhi (1982),Drama,211,5.0,1460811686
33981,1295,"Unbearable Lightness of Being, The (1988)",Drama,547,5.0,981313323
33962,1293,Gandhi (1982),Drama,587,5.0,1112313979
33961,1293,Gandhi (1982),Drama,576,5.0,1005426731
33958,1293,Gandhi (1982),Drama,547,5.0,981312829
33957,1293,Gandhi (1982),Drama,545,5.0,938566319
33940,1293,Gandhi (1982),Drama,311,5.0,898526635
33939,1293,Gandhi (1982),Drama,309,5.0,1114565826
33934,1293,Gandhi (1982),Drama,232,5.0,955092635
33255,1276,Cool Hand Luke (1967),Drama,624,5.0,1019130913
33253,1276,Cool Hand Luke (1967),Drama,585,5.0,975362381
33252,1276,Cool Hand Luke (1967),Drama,575,5.0,1018056791
33251,1276,Cool Hand Luke (1967),Drama,559,5.0,903144248
33249,1276,Cool Hand Luke (1967),Drama,537,5.0,879502488
33245,1276,Cool Hand Luke (1967),Drama,514,5.0,853894074
33242,1276,Cool Hand Luke (1967),Drama,494,5.0,1342747933
33237,1276,Cool Hand Luke (1967),Drama,391,5.0,891533624
33236,1276,Cool Hand Luke (1967),Drama,387,5.0,974681905
33235,1276,Cool Hand Luke (1967),Drama,358,5.0,957479957
33233,1276,Cool Hand Luke (1967),Drama,342,5.0,945123947
33227,1276,Cool Hand Luke (1967),Drama,253,5.0,1215823745
33223,1276,Cool Hand Luke (1967),Drama,195,5.0,976287942
33371,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,614,5.0,1010620127
33364,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,510,5.0,944347209
33363,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,499,5.0,965248041
33359,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,408,5.0,933034219
33355,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,23,5.0,1148670134
33226,1276,Cool Hand Luke (1967),Drama,242,5.0,956688564
33222,1276,Cool Hand Luke (1967),Drama,177,5.0,907516215
33219,1276,Cool Hand Luke (1967),Drama,118,5.0,951009653
33218,1276,Cool Hand Luke (1967),Drama,102,5.0,956591745
33216,1276,Cool Hand Luke (1967),Drama,83,5.0,1156205360
33215,1276,Cool Hand Luke (1967),Drama,34,5.0,973746569
33214,1276,Cool Hand Luke (1967),Drama,30,5.0,945114271
29466,1207,To Kill a Mockingbird (1962),Drama,376,5.0,1005529913
29464,1207,To Kill a Mockingbird (1962),Drama,358,5.0,957535191
29463,1207,To Kill a Mockingbird (1962),Drama,351,5.0,975637170
29461,1207,To Kill a Mockingbird (1962),Drama,336,5.0,995827263
29458,1207,To Kill a Mockingbird (1962),Drama,292,5.0,1140149234
29451,1207,To Kill a Mockingbird (1962),Drama,242,5.0,956688507
29447,1207,To Kill a Mockingbird (1962),Drama,232,5.0,955092599
29442,1207,To Kill a Mockingbird (1962),Drama,211,5.0,1460811137
29437,1207,To Kill a Mockingbird (1962),Drama,133,5.0,1416151382
29435,1207,To Kill a Mockingbird (1962),Drama,102,5.0,956598547
29429,1207,To Kill a Mockingbird (1962),Drama,56,5.0,1467003288
29428,1207,To Kill a Mockingbird (1962),Drama,34,5.0,973746527
29427,1207,To Kill a Mockingbird (1962),Drama,30,5.0,945113377
29424,1207,To Kill a Mockingbird (1962),Drama,19,5.0,855191775
29465,1207,To Kill a Mockingbird (1962),Drama,370,5.0,1096495898
29468,1207,To Kill a Mockingbird (1962),Drama,391,5.0,891534357
29470,1207,To Kill a Mockingbird (1962),Drama,405,5.0,1061357210
29502,1207,To Kill a Mockingbird (1962),Drama,647,5.0,947292422
29497,1207,To Kill a Mockingbird (1962),Drama,585,5.0,975365246
29495,1207,To Kill a Mockingbird (1962),Drama,575,5.0,1012604297
29494,1207,To Kill a Mockingbird (1962),Drama,569,5.0,965070662
29490,1207,To Kill a Mockingbird (1962),Drama,547,5.0,974809846
29489,1207,To Kill a Mockingbird (1962),Drama,537,5.0,879502423
29486,1207,To Kill a Mockingbird (1962),Drama,514,5.0,853893935
29479,1207,To Kill a Mockingbird (1962),Drama,463,5.0,1049913536
29477,1207,To Kill a Mockingbird (1962),Drama,452,5.0,1002939847
29473,1207,To Kill a Mockingbird (1962),Drama,427,5.0,1128457173
29250,1203,12 Angry Men (1957),Drama,656,5.0,986242241
29245,1203,12 Angry Men (1957),Drama,605,5.0,980174353
29246,1203,12 Angry Men (1957),Drama,606,5.0,1380349977
29242,1203,12 Angry Men (1957),Drama,584,5.0,1273166595
29181,1203,12 Angry Men (1957),Drama,28,5.0,938943524
29240,1203,12 Angry Men (1957),Drama,577,5.0,1111476456
29183,1203,12 Angry Men (1957),Drama,58,5.0,961127480
29237,1203,12 Angry Men (1957),Drama,558,5.0,965433965
29235,1203,12 Angry Men (1957),Drama,537,5.0,879502901
29233,1203,12 Angry Men (1957),Drama,521,5.0,1370072709
29232,1203,12 Angry Men (1957),Drama,519,5.0,1468927483
29231,1203,12 Angry Men (1957),Drama,514,5.0,853894100
29228,1203,12 Angry Men (1957),Drama,501,5.0,1309479844
29226,1203,12 Angry Men (1957),Drama,475,5.0,1447269581
29218,1203,12 Angry Men (1957),Drama,436,5.0,941458109
29216,1203,12 Angry Men (1957),Drama,433,5.0,1417931280
29215,1203,12 Angry Men (1957),Drama,427,5.0,1128457191
29213,1203,12 Angry Men (1957),Drama,406,5.0,1447951484
29210,1203,12 Angry Men (1957),Drama,388,5.0,946525738
29209,1203,12 Angry Men (1957),Drama,387,5.0,974670428
29208,1203,12 Angry Men (1957),Drama,358,5.0,957535347
29206,1203,12 Angry Men (1957),Drama,342,5.0,945123389
29201,1203,12 Angry Men (1957),Drama,268,5.0,1314888946
29199,1203,12 Angry Men (1957),Drama,242,5.0,956688613
29197,1203,12 Angry Men (1957),Drama,232,5.0,955092635
29191,1203,12 Angry Men (1957),Drama,164,5.0,1178927651
29188,1203,12 Angry Men (1957),Drama,119,5.0,989622199
29184,1203,12 Angry Men (1957),Drama,66,5.0,974597659
30742,1225,Amadeus (1984),Drama,58,5.0,961127896
30778,1225,Amadeus (1984),Drama,358,5.0,957535155
30776,1225,Amadeus (1984),Drama,344,5.0,850727542
30771,1225,Amadeus (1984),Drama,306,5.0,939814967
30762,1225,Amadeus (1984),Drama,245,5.0,1012187240
30761,1225,Amadeus (1984),Drama,242,5.0,956687335
30760,1225,Amadeus (1984),Drama,232,5.0,955092359
30757,1225,Amadeus (1984),Drama,214,5.0,978382302
30755,1225,Amadeus (1984),Drama,211,5.0,1460811883
30753,1225,Amadeus (1984),Drama,193,5.0,971215907
30749,1225,Amadeus (1984),Drama,119,5.0,952580936
30741,1225,Amadeus (1984),Drama,57,5.0,907764310
30740,1225,Amadeus (1984),Drama,56,5.0,1467003994
30739,1225,Amadeus (1984),Drama,30,5.0,948166414
30738,1225,Amadeus (1984),Drama,28,5.0,938944457
30736,1225,Amadeus (1984),Drama,21,5.0,853850728
30735,1225,Amadeus (1984),Drama,19,5.0,855191846
30732,1225,Amadeus (1984),Drama,7,5.0,851868246
30731,1225,Amadeus (1984),Drama,4,5.0,949779173
30781,1225,Amadeus (1984),Drama,380,5.0,1133970781
30782,1225,Amadeus (1984),Drama,381,5.0,1018646404
30785,1225,Amadeus (1984),Drama,388,5.0,946525718
30786,1225,Amadeus (1984),Drama,391,5.0,891533594
30829,1225,Amadeus (1984),Drama,656,5.0,986242569
30815,1225,Amadeus (1984),Drama,545,5.0,938566176
30807,1225,Amadeus (1984),Drama,514,5.0,853893811
30806,1225,Amadeus (1984),Drama,510,5.0,944347065
30805,1225,Amadeus (1984),Drama,509,5.0,939417819
30803,1225,Amadeus (1984),Drama,502,5.0,861322649
30801,1225,Amadeus (1984),Drama,497,5.0,940364445
30792,1225,Amadeus (1984),Drama,436,5.0,941457713
30791,1225,Amadeus (1984),Drama,434,5.0,886374515
